snapshot_date,carrier,market,manufacturer,product_or_family,promo_headline,max_credit_usd,advertised_effective_price,plan_requirement,line_requirement,trade_in_required,port_in_required,term_months,bundle_or_extra,source_confidence,source_url,notes
2026-06-21,Verizon,US,Apple,"iPhone 17","iPhone 17 plus Apple Watch Series 11 and iPad on us",,"Phone/watch/tablet on us subject to plan and service-line requirements","Select Unlimited plans","New phone line; watch and iPad service plans required",No,Not specified,36,"Apple Watch Series 11 and iPad bundle","Official Verizon indexed page; promo says ends 2026-06-17, so needs live recheck","https://esus-uat.verizon.com/deals/smartphones/","Marked expired/needs recheck because source line showed Ends 6/17."
2026-06-21,Verizon,US,Apple,"iPhone 17 Pro / Pro Max","Up to $1,000 off premium iPhone 17 series with new unlimited line",1000,"iPhone 17 Pro reported as low as about $100 after credit","Unlimited Ultimate noted by media source","New unlimited line",No,Not specified,36,,Media corroboration; needs direct Verizon live validation,"https://www.techradar.com/deals/the-best-verizon-deals-sales-discounts","Useful competitive headline; verify exact SKU and account eligibility before reporting internally."
2026-06-21,Verizon,US,Apple,"iPhone 17e","Free with new line on any myPlan / any unlimited plan",600,"Free after promo credit","Any myPlan / any unlimited plan","New smartphone line",No,Not specified,36,,Verizon-authorized retailer page plus media corroboration,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Victra text says $600 promo credit over 36 months; no trade required."
2026-06-21,Verizon,US,Samsung,"Galaxy S26","Save $900 with new line on any Unlimited plan",900,"Free or near-free depending MSRP/SKU","Unlimited Ultimate, Unlimited Plus, or Unlimited Welcome","New smartphone line",No,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Victra states offer cannot be combined with trade offers or other standalone device offers."
2026-06-21,Verizon,US,Samsung,"Galaxy S26+","Save $1,100 with new line on select Unlimited plans; no trade required",1100,"Up to $1,100 off after credits","Unlimited Ultimate or Unlimited Plus","New smartphone line for new customer or added line",No,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Strong Samsung hero offer; important to compare against Apple iPhone 17e/free-family offers."
2026-06-21,Verizon,US,Samsung,"Galaxy S26 Ultra","Save $1,300 with new line and Unlimited Ultimate",1300,"Deep discount after credits","Unlimited Ultimate","New smartphone line; port-in required per retailer terms",No,Yes,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","This is the richest Samsung line-item found; port-in requirement is commercially important."
2026-06-21,Verizon,US,Samsung,"Galaxy S26 Ultra","$1,100 off with new unlimited line",1100,"Reported around $5/month after credit","Unlimited Ultimate","New unlimited line",No,Not specified,36,,Media corroboration,"https://www.techradar.com/deals/the-best-verizon-deals-sales-discounts","Media and retailer values differ ($1,100 vs $1,300); treat as recheck priority."
2026-06-21,Verizon,US,Google,"Pixel 10a","Save $500 / free with any Unlimited plan; new line required",500,"Free after promo credit","Any Unlimited plan","New smartphone line",No,No,36,,Verizon-authorized retailer page plus media corroboration,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Good entry Google offer; lower headline credit but broader plan eligibility."
2026-06-21,Verizon,US,Google,"Pixel 10 Pro","Save $1,000 on any Unlimited plan; no trade required",1000,"Up to $1,000 off after credits","Unlimited Ultimate, Unlimited Plus, or Unlimited Welcome","New or upgrade smartphone line",No,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Very aggressive Google Pro offer because it includes upgrade lines and all listed Unlimited tiers."
2026-06-21,Verizon,US,Google,"Pixel 10","Save $800 on Unlimited Ultimate/Plus; no trade required",800,"Up to $800 off after credits","Unlimited Ultimate or Unlimited Plus","New or upgrade smartphone line",No,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Retailer row label appears inconsistent: heading says Pixel 10 Pro but headline says Pixel 10."
2026-06-21,Verizon,US,Google,"Pixel 10 Pro XL","$1,100 off with new unlimited line",1100,"About $99 net on $1,199 MSRP before taxes/fees if full credit applies","Unlimited Ultimate","New unlimited line",No,Not specified,36,,Media corroboration,"https://www.techradar.com/deals/the-best-verizon-deals-sales-discounts","Needs direct Verizon validation; useful as current-market headline."
2026-06-21,Verizon,US,Google,"Pixel 10 Pro Fold","Save $1,079.99 with no trade required",1079.99,"Up to $1,079.99 off after credits","Unlimited Ultimate, Unlimited Plus, or Unlimited Welcome","New or upgrade smartphone line",No,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Foldable Google offer is broad by plan tier; compare against Samsung foldables once added."
2026-06-21,Verizon,US,Google,"Pixel 10 Pro Fold","Save up to $1,000 with select trade-in and Unlimited Ultimate",1000,"Up to $1,000 off after trade-in/promo credits","Unlimited Ultimate","New or upgrade smartphone line",Yes,No,36,,Verizon-authorized retailer page,"https://victra.com/verizon-deals/verizon-smartphone-deals/","Trade-in must be Samsung, Apple, Google, or Motorola; upgrade phone active 60 days before purchase."
2026-06-21,Verizon,US,Mixed,"Switching families","Switch and get 4 phones for $0 plus 4 lines for $25/line",,"4 phones for $0; 4 lines at $25/line/mo before taxes and fees","Unlimited Welcome with Auto Pay","4 new lines",No,Not specified,36,"Select models only","Official Verizon indexed page","https://esus-uat.verizon.com/deals/smartphones/","Cross-brand family acquisition offer; likely one of the most important competitive levers."
2026-06-21,Verizon Business,US,Mixed,"Business smartphone trade-in credits","Up to $899.99 Samsung Galaxy S26; $829.99 iPhone 17; $799.99 Pixel 10/Galaxy S25; $729.99 iPhone 16",899.99,"Credits over agreement term","Business agreement terms","Business smartphone line",Yes,No,36,,Official Verizon Business page,"https://www.verizon.com/business/products/mobile/deals/","B2B reference only; do not mix with consumer promo dashboard unless market scope includes SMB/business."
